"","Gene set","Overlap","pValue","pAdj"
"1","#upgenes.DNA_0","BRCA1, E2F4","0.998935574674921",1
"2","#upgenes.ERS_0","","1",1
"3","#upgenes.HTS_0","CSNK2A1, CSNK2B","0.975479839893124",1
"4","#upgenes.HYP_0","NFKB1, TP53, TXN","0.97710268596425",1
"5","#upgenes.MTL_0","CDK5","0.992786497717649",1
"6","#upgenes.OXD_0","SRC, PTN, SMAD3","0.877454141914455",1
"7","#upgenes.DNA_0.25","BRCA1, E2F4","0.998394650791312",1
"8","#upgenes.ERS_0.25","","1",1
"9","#upgenes.HTS_0.25","CSNK2A1","0.992774046972597",1
"10","#upgenes.HYP_0.25","NFKB1, TP53, TXN","0.962233272462736",1
"11","#upgenes.MTL_0.25","CDK5","0.989778526807551",1
"12","#upgenes.OXD_0.25","SRC, PTN, SMAD3","0.833674138145452",1
"13","#upgenes.DNA_0.45","BRCA1, E2F4","0.996353621412809",1
"14","#upgenes.ERS_0.45","","1",1
"15","#upgenes.HTS_0.45","CSNK2A1","0.983782014269361",1
"16","#upgenes.HYP_0.45","","1",1
"17","#upgenes.MTL_0.45","CDK5","0.941202394051077",1
"18","#upgenes.OXD_0.45","SRC, PTN, SMAD3","0.740288979429961",1
"19","#upgenes.DNA_0.5","BRCA1, E2F4","0.996353621412809",1
"20","#upgenes.ERS_0.5","","1",1
"21","#upgenes.HTS_0.5","CSNK2A1","0.983782014269361",1
"22","#upgenes.HYP_0.5","","1",1
"23","#upgenes.MTL_0.5","CDK5","0.941202394051077",1
"24","#upgenes.OXD_0.5","SRC, PTN, SMAD3","0.740288979429961",1
"25","#upgenes.DNA_0.65","BRCA1","0.997261521054476",1
"26","#upgenes.ERS_0.65","","1",1
"27","#upgenes.HTS_0.65","CSNK2A1","0.943906171595417",1
"28","#upgenes.HYP_0.65","","1",1
"29","#upgenes.MTL_0.65","CDK5","0.941202394051077",1
"30","#upgenes.OXD_0.65","SMAD3","0.908446203419282",1
"31","#upgenes.DNA_0.75","BRCA1","0.997261521054476",1
"32","#upgenes.ERS_0.75","","1",1
"33","#upgenes.HTS_0.75","","1",1
"34","#upgenes.HYP_0.75","","1",1
"35","#upgenes.MTL_0.75","","1",1
"36","#upgenes.OXD_0.75","SMAD3","0.908446203419282",1
"37","#upgenes.DNA_0.85","BRCA1","0.96281325926959",1
"38","#upgenes.ERS_0.85","","1",1
"39","#upgenes.HTS_0.85","","1",1
"40","#upgenes.HYP_0.85","","1",1
"41","#upgenes.MTL_0.85","","1",1
"42","#upgenes.OXD_0.85","","1",1
"43","#upgenes.DNA_0.95","BRCA1","0.96281325926959",1
"44","#upgenes.ERS_0.95","","1",1
"45","#upgenes.HTS_0.95","","1",1
"46","#upgenes.HYP_0.95","","1",1
"47","#upgenes.MTL_0.95","","1",1
"48","#upgenes.OXD_0.95","","1",1
"49","#upgenes.DNA_1","BRCA1","0.96281325926959",1
"50","#upgenes.ERS_1","","1",1
"51","#upgenes.HTS_1","","1",1
"52","#upgenes.HYP_1","","1",1
"53","#upgenes.MTL_1","","1",1
"54","#upgenes.OXD_1","","1",1
"55","#dngenes.DNA_0","BRCA1, E2F4","0.998935574674921",1
"56","#dngenes.ERS_0","","1",1
"57","#dngenes.HTS_0","CSNK2A1, CSNK2B","0.975479839893124",1
"58","#dngenes.HYP_0","NFKB1, TP53, TXN","0.97710268596425",1
"59","#dngenes.MTL_0","CDK5","0.992786497717649",1
"60","#dngenes.OXD_0","SRC, PTN, SMAD3","0.877454141914455",1
"61","#dngenes.DNA_0.25","E2F4","0.997211157744138",1
"62","#dngenes.ERS_0.25","","1",1
"63","#dngenes.HTS_0.25","CSNK2A1, CSNK2B","0.869999801636617",1
"64","#dngenes.HYP_0.25","NFKB1, TP53, TXN","0.761951917847267",1
"65","#dngenes.MTL_0.25","CDK5","0.982740672537802",1
"66","#dngenes.OXD_0.25","SRC, PTN, SMAD3","0.813874019508752",1
"67","#dngenes.DNA_0.45","E2F4","0.961050977988893",1
"68","#dngenes.ERS_0.45","","1",1
"69","#dngenes.HTS_0.45","CSNK2B","0.937614080096811",1
"70","#dngenes.HYP_0.45","NFKB1, TP53, TXN","0.40349542691988",1
"71","#dngenes.MTL_0.45","","1",1
"72","#dngenes.OXD_0.45","SRC, PTN","0.748346915369332",1
"73","#dngenes.DNA_0.5","E2F4","0.961050977988893",1
"74","#dngenes.ERS_0.5","","1",1
"75","#dngenes.HTS_0.5","CSNK2B","0.937614080096811",1
"76","#dngenes.HYP_0.5","NFKB1, TP53, TXN","0.40349542691988",1
"77","#dngenes.MTL_0.5","","1",1
"78","#dngenes.OXD_0.5","SRC, PTN","0.748346915369332",1
"79","#dngenes.DNA_0.65","","1",1
"80","#dngenes.ERS_0.65","","1",1
"81","#dngenes.HTS_0.65","CSNK2B","0.783668660418763",1
"82","#dngenes.HYP_0.65","NFKB1, TP53, TXN","0.169862692215689",1
"83","#dngenes.MTL_0.65","","1",1
"84","#dngenes.OXD_0.65","","1",1
"85","#dngenes.DNA_0.75","","1",1
"86","#dngenes.ERS_0.75","","1",1
"87","#dngenes.HTS_0.75","CSNK2B","0.510005089916873",1
"88","#dngenes.HYP_0.75","","1",1
"89","#dngenes.MTL_0.75","","1",1
"90","#dngenes.OXD_0.75","","1",1
"91","#dngenes.DNA_0.85","","1",1
"92","#dngenes.ERS_0.85","","1",1
"93","#dngenes.HTS_0.85","","1",1
"94","#dngenes.HYP_0.85","","1",1
"95","#dngenes.MTL_0.85","","1",1
"96","#dngenes.OXD_0.85","","1",1
"97","#dngenes.DNA_0.95","","1",1
"98","#dngenes.ERS_0.95","","1",1
"99","#dngenes.HTS_0.95","","1",1
"100","#dngenes.HYP_0.95","","1",1
"101","#dngenes.MTL_0.95","","1",1
"102","#dngenes.OXD_0.95","","1",1
