"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","BRCA1","0.832780652155817",1
"2","DNA_thresholded_100","BRCA1","0.97204265001492",1
"3","DNA_thresholded_200","BRCA1","0.999194018487979",1
"4","DNA_thresholded_300","BRCA1","0.999976435609366",1
"5","DNA_thresholded_400","BRCA1, E2F4","0.999988589556123",1
"6","DNA_thresholded_477","BRCA1, E2F4","0.999999082373671",1
"7","ERS_thresholded_050","","1",1
"8","ERS_thresholded_100","","1",1
"9","ERS_thresholded_200","","1",1
"10","ERS_thresholded_300","CSNK2B","0.999972781707747",1
"11","ERS_thresholded_400","CSNK2B","0.999999093860704",1
"12","ERS_thresholded_477","CSNK2B, CSNK2A1","0.999998741743974",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","MAPKAPK2","0.971590294373124",1
"15","HTS_thresholded_200","MAPKAPK2, MAPK1, MAPK3","0.970950172979377",1
"16","HTS_thresholded_300","MAPKAPK2, MAPK1, MAPK3, CSNK2B","0.992404412365169",1
"17","HTS_thresholded_400","MAPKAPK2, MAPK1, MAPK3, CSNK2B, CSNK2A1","0.997820539023565",1
"18","HTS_thresholded_477","MAPKAPK2, MAPK1, MAPK3, CSNK2B, CSNK2A1","0.999702144371465",1
"19","HYP_thresholded_050","RPS6KA5","0.831685958083768",1
"20","HYP_thresholded_100","RPS6KA5, NFKB1","0.867745171144004",1
"21","HYP_thresholded_200","RPS6KA5, NFKB1","0.99314428717721",1
"22","HYP_thresholded_300","RPS6KA5, NFKB1","0.999703282202762",1
"23","HYP_thresholded_400","RPS6KA5, NFKB1","0.999987989585432",1
"24","HYP_thresholded_477","RPS6KA5, NFKB1, ARNT","0.99999075761647",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","CDK5","0.999080812836294",1
"28","MTL_thresholded_300","CDK5","0.999968770433525",1
"29","MTL_thresholded_400","CDK5","0.999998822409348",1
"30","MTL_thresholded_477","CDK5","0.999999909597916",1
"31","OXD_thresholded_050","SRC","0.831517620418816",1
"32","OXD_thresholded_100","SRC","0.971305956218822",1
"33","OXD_thresholded_200","SRC, PTN, SMAD3","0.970647000853707",1
"34","OXD_thresholded_300","SRC, PTN, SMAD3, PAWR, STAT1","0.976702018343852",1
"35","OXD_thresholded_400","SRC, PTN, SMAD3, PAWR, STAT1","0.997683784697173",1
"36","OXD_thresholded_477","SRC, PTN, SMAD3, PAWR, STAT1, ARNT","0.998698153142056",1
