"","Gene set","Overlap","pValue","pAdj"
"1","#upgenes.DNA_0","CCNE1, E2F4","0.533208778880944",1
"2","#upgenes.ERS_0","","1",1
"3","#upgenes.HTS_0","HSP90AA1","0.672713782795622",1
"4","#upgenes.HYP_0","CDKN1B, EGR1, HIF1A, JUN, RELA","0.0119953746158079",1
"5","#upgenes.MTL_0","","1",1
"6","#upgenes.OXD_0","","1",1
"7","#upgenes.DNA_0.25","CCNE1, E2F4","0.506034520578191",1
"8","#upgenes.ERS_0.25","","1",1
"9","#upgenes.HTS_0.25","HSP90AA1","0.623641313163803",1
"10","#upgenes.HYP_0.25","CDKN1B, EGR1, JUN, RELA","0.0381541413048938",1
"11","#upgenes.MTL_0.25","","1",1
"12","#upgenes.OXD_0.25","","1",1
"13","#upgenes.DNA_0.45","CCNE1, E2F4","0.448293821049563",1
"14","#upgenes.ERS_0.45","","1",1
"15","#upgenes.HTS_0.45","HSP90AA1","0.558235117319372",1
"16","#upgenes.HYP_0.45","CDKN1B, EGR1, JUN, RELA","0.0259058988633265",1
"17","#upgenes.MTL_0.45","","1",1
"18","#upgenes.OXD_0.45","","1",1
"19","#upgenes.DNA_0.5","CCNE1, E2F4","0.448293821049563",1
"20","#upgenes.ERS_0.5","","1",1
"21","#upgenes.HTS_0.5","HSP90AA1","0.558235117319372",1
"22","#upgenes.HYP_0.5","CDKN1B, EGR1, JUN, RELA","0.0259058988633265",1
"23","#upgenes.MTL_0.5","","1",1
"24","#upgenes.OXD_0.5","","1",1
"25","#upgenes.DNA_0.65","CCNE1","0.689509380552801",1
"26","#upgenes.ERS_0.65","","1",1
"27","#upgenes.HTS_0.65","HSP90AA1","0.435046957858695",1
"28","#upgenes.HYP_0.65","CDKN1B, EGR1, JUN, RELA","0.0152890996159675",1
"29","#upgenes.MTL_0.65","","1",1
"30","#upgenes.OXD_0.65","","1",1
"31","#upgenes.DNA_0.75","CCNE1","0.689509380552801",1
"32","#upgenes.ERS_0.75","","1",1
"33","#upgenes.HTS_0.75","HSP90AA1","0.335864129915948",1
"34","#upgenes.HYP_0.75","JUN","0.486313420359996",1
"35","#upgenes.MTL_0.75","","1",1
"36","#upgenes.OXD_0.75","","1",1
"37","#upgenes.DNA_0.85","","1",1
"38","#upgenes.ERS_0.85","","1",1
"39","#upgenes.HTS_0.85","HSP90AA1","0.14397543521229",1
"40","#upgenes.HYP_0.85","JUN","0.322212811078138",1
"41","#upgenes.MTL_0.85","","1",1
"42","#upgenes.OXD_0.85","","1",1
"43","#upgenes.DNA_0.95","","1",1
"44","#upgenes.ERS_0.95","","1",1
"45","#upgenes.HTS_0.95","HSP90AA1","0.14397543521229",1
"46","#upgenes.HYP_0.95","JUN","0.322212811078138",1
"47","#upgenes.MTL_0.95","","1",1
"48","#upgenes.OXD_0.95","","1",1
"49","#upgenes.DNA_1","","1",1
"50","#upgenes.ERS_1","","1",1
"51","#upgenes.HTS_1","HSP90AA1","0.14397543521229",1
"52","#upgenes.HYP_1","JUN","0.322212811078138",1
"53","#upgenes.MTL_1","","1",1
"54","#upgenes.OXD_1","","1",1
"55","#dngenes.DNA_0","CCNE1, E2F4","0.533208778880944",1
"56","#dngenes.ERS_0","","1",1
"57","#dngenes.HTS_0","HSP90AA1","0.672713782795622",1
"58","#dngenes.HYP_0","CDKN1B, EGR1, HIF1A, JUN, RELA","0.0119953746158079",1
"59","#dngenes.MTL_0","","1",1
"60","#dngenes.OXD_0","","1",1
"61","#dngenes.DNA_0.25","CCNE1, E2F4","0.315137349449917",1
"62","#dngenes.ERS_0.25","","1",1
"63","#dngenes.HTS_0.25","","1",1
"64","#dngenes.HYP_0.25","CDKN1B, EGR1, HIF1A, RELA","0.00719233158819011",0.776771811524532
"65","#dngenes.MTL_0.25","","1",1
"66","#dngenes.OXD_0.25","","1",1
"67","#dngenes.DNA_0.45","E2F4","0.474460309988309",1
"68","#dngenes.ERS_0.45","","1",1
"69","#dngenes.HTS_0.45","","1",1
"70","#dngenes.HYP_0.45","HIF1A","0.372731525418643",1
"71","#dngenes.MTL_0.45","","1",1
"72","#dngenes.OXD_0.45","","1",1
"73","#dngenes.DNA_0.5","E2F4","0.474460309988309",1
"74","#dngenes.ERS_0.5","","1",1
"75","#dngenes.HTS_0.5","","1",1
"76","#dngenes.HYP_0.5","HIF1A","0.372731525418643",1
"77","#dngenes.MTL_0.5","","1",1
"78","#dngenes.OXD_0.5","","1",1
"79","#dngenes.DNA_0.65","","1",1
"80","#dngenes.ERS_0.65","","1",1
"81","#dngenes.HTS_0.65","","1",1
"82","#dngenes.HYP_0.65","HIF1A","0.251493363242289",1
"83","#dngenes.MTL_0.65","","1",1
"84","#dngenes.OXD_0.65","","1",1
"85","#dngenes.DNA_0.75","","1",1
"86","#dngenes.ERS_0.75","","1",1
"87","#dngenes.HTS_0.75","","1",1
"88","#dngenes.HYP_0.75","HIF1A","0.125618545163057",1
"89","#dngenes.MTL_0.75","","1",1
"90","#dngenes.OXD_0.75","","1",1
"91","#dngenes.DNA_0.85","","1",1
"92","#dngenes.ERS_0.85","","1",1
"93","#dngenes.HTS_0.85","","1",1
"94","#dngenes.HYP_0.85","","1",1
"95","#dngenes.MTL_0.85","","1",1
"96","#dngenes.OXD_0.85","","1",1
"97","#dngenes.DNA_0.95","","1",1
"98","#dngenes.ERS_0.95","","1",1
"99","#dngenes.HTS_0.95","","1",1
"100","#dngenes.HYP_0.95","","1",1
"101","#dngenes.MTL_0.95","","1",1
"102","#dngenes.OXD_0.95","","1",1
"103","#dngenes.DNA_1","","1",1
"104","#dngenes.ERS_1","","1",1
"105","#dngenes.HTS_1","","1",1
"106","#dngenes.HYP_1","","1",1
"107","#dngenes.MTL_1","","1",1
"108","#dngenes.OXD_1","","1",1
