"","Gene set","Overlap","pValue","pAdj"
"1","#upgenes.DNA_0","YY1","0.970350561688432",1
"2","#upgenes.ERS_0","ATF3","0.666896342483681",1
"3","#upgenes.HTS_0","","1",1
"4","#upgenes.HYP_0","BHLHE40, CDKN1A, ELF3, HBP1, SIAH2, TP53","0.0531531047483722",1
"5","#upgenes.MTL_0","","1",1
"6","#upgenes.OXD_0","MYB, SMAD3","0.571803115573289",1
"7","#upgenes.DNA_0.25","YY1","0.96467842388684",1
"8","#upgenes.ERS_0.25","ATF3","0.633852513713808",1
"9","#upgenes.HTS_0.25","","1",1
"10","#upgenes.HYP_0.25","BHLHE40, CDKN1A, ELF3, HBP1, SIAH2, TP53","0.0364510272464618",1
"11","#upgenes.MTL_0.25","","1",1
"12","#upgenes.OXD_0.25","SMAD3","0.8296993117548",1
"13","#upgenes.DNA_0.45","","1",1
"14","#upgenes.ERS_0.45","ATF3","0.532682533196887",1
"15","#upgenes.HTS_0.45","","1",1
"16","#upgenes.HYP_0.45","BHLHE40, CDKN1A, ELF3, HBP1, SIAH2","0.0681222981057941",1
"17","#upgenes.MTL_0.45","","1",1
"18","#upgenes.OXD_0.45","SMAD3","0.776379433081981",1
"19","#upgenes.DNA_0.5","","1",1
"20","#upgenes.ERS_0.5","ATF3","0.532682533196887",1
"21","#upgenes.HTS_0.5","","1",1
"22","#upgenes.HYP_0.5","BHLHE40, CDKN1A, ELF3, HBP1, SIAH2","0.0681222981057941",1
"23","#upgenes.MTL_0.5","","1",1
"24","#upgenes.OXD_0.5","SMAD3","0.776379433081981",1
"25","#upgenes.DNA_0.65","","1",1
"26","#upgenes.ERS_0.65","ATF3","0.471857602330174",1
"27","#upgenes.HTS_0.65","","1",1
"28","#upgenes.HYP_0.65","BHLHE40, CDKN1A, HBP1, SIAH2","0.118205157399664",1
"29","#upgenes.MTL_0.65","","1",1
"30","#upgenes.OXD_0.65","SMAD3","0.598433442810546",1
"31","#upgenes.DNA_0.75","","1",1
"32","#upgenes.ERS_0.75","ATF3","0.411144839338035",1
"33","#upgenes.HTS_0.75","","1",1
"34","#upgenes.HYP_0.75","BHLHE40, CDKN1A, HBP1","0.129722958841688",1
"35","#upgenes.MTL_0.75","","1",1
"36","#upgenes.OXD_0.75","SMAD3","0.598433442810546",1
"37","#upgenes.DNA_0.85","","1",1
"38","#upgenes.ERS_0.85","ATF3","0.352465454598359",1
"39","#upgenes.HTS_0.85","","1",1
"40","#upgenes.HYP_0.85","BHLHE40, CDKN1A, HBP1","0.0365560268413676",1
"41","#upgenes.MTL_0.85","","1",1
"42","#upgenes.OXD_0.85","","1",1
"43","#upgenes.DNA_0.95","","1",1
"44","#upgenes.ERS_0.95","ATF3","0.258399056822869",1
"45","#upgenes.HTS_0.95","","1",1
"46","#upgenes.HYP_0.95","BHLHE40, CDKN1A, HBP1","0.0365560268413676",1
"47","#upgenes.MTL_0.95","","1",1
"48","#upgenes.OXD_0.95","","1",1
"49","#upgenes.DNA_1","","1",1
"50","#upgenes.ERS_1","ATF3","0.258399056822869",1
"51","#upgenes.HTS_1","","1",1
"52","#upgenes.HYP_1","BHLHE40, CDKN1A, HBP1","0.0365560268413676",1
"53","#upgenes.MTL_1","","1",1
"54","#upgenes.OXD_1","","1",1
"55","#dngenes.DNA_0","YY1","0.970350561688432",1
"56","#dngenes.ERS_0","ATF3","0.666896342483681",1
"57","#dngenes.HTS_0","","1",1
"58","#dngenes.HYP_0","BHLHE40, CDKN1A, ELF3, HBP1, SIAH2, TP53","0.0531531047483722",1
"59","#dngenes.MTL_0","","1",1
"60","#dngenes.OXD_0","MYB, SMAD3","0.571803115573289",1
"61","#dngenes.DNA_0.25","YY1","0.894041252096176",1
"62","#dngenes.ERS_0.25","","1",1
"63","#dngenes.HTS_0.25","","1",1
"64","#dngenes.HYP_0.25","ELF3, SIAH2, TP53","0.192881754741437",1
"65","#dngenes.MTL_0.25","","1",1
"66","#dngenes.OXD_0.25","MYB, SMAD3","0.500056343873839",1
"67","#dngenes.DNA_0.45","YY1","0.710191260783419",1
"68","#dngenes.ERS_0.45","","1",1
"69","#dngenes.HTS_0.45","","1",1
"70","#dngenes.HYP_0.45","ELF3, TP53","0.220893793700621",1
"71","#dngenes.MTL_0.45","","1",1
"72","#dngenes.OXD_0.45","MYB","0.644807909233994",1
"73","#dngenes.DNA_0.5","YY1","0.710191260783419",1
"74","#dngenes.ERS_0.5","","1",1
"75","#dngenes.HTS_0.5","","1",1
"76","#dngenes.HYP_0.5","ELF3, TP53","0.220893793700621",1
"77","#dngenes.MTL_0.5","","1",1
"78","#dngenes.OXD_0.5","MYB","0.644807909233994",1
"79","#dngenes.DNA_0.65","YY1","0.387128229232035",1
"80","#dngenes.ERS_0.65","","1",1
"81","#dngenes.HTS_0.65","","1",1
"82","#dngenes.HYP_0.65","TP53","0.427464151674034",1
"83","#dngenes.MTL_0.65","","1",1
"84","#dngenes.OXD_0.65","MYB","0.36205260271564",1
"85","#dngenes.DNA_0.75","YY1","0.387128229232035",1
"86","#dngenes.ERS_0.75","","1",1
"87","#dngenes.HTS_0.75","","1",1
"88","#dngenes.HYP_0.75","","1",1
"89","#dngenes.MTL_0.75","","1",1
"90","#dngenes.OXD_0.75","MYB","0.36205260271564",1
"91","#dngenes.DNA_0.85","","1",1
"92","#dngenes.ERS_0.85","","1",1
"93","#dngenes.HTS_0.85","","1",1
"94","#dngenes.HYP_0.85","","1",1
"95","#dngenes.MTL_0.85","","1",1
"96","#dngenes.OXD_0.85","MYB","0.162282583359501",1
"97","#dngenes.DNA_0.95","","1",1
"98","#dngenes.ERS_0.95","","1",1
"99","#dngenes.HTS_0.95","","1",1
"100","#dngenes.HYP_0.95","","1",1
"101","#dngenes.MTL_0.95","","1",1
"102","#dngenes.OXD_0.95","MYB","0.162282583359501",1
"103","#dngenes.DNA_1","","1",1
"104","#dngenes.ERS_1","","1",1
"105","#dngenes.HTS_1","","1",1
"106","#dngenes.HYP_1","","1",1
"107","#dngenes.MTL_1","","1",1
"108","#dngenes.OXD_1","MYB","0.162282583359501",1
