"","Gene set","Overlap","pValue","pAdj"
"1","#upgenes.DNA_0","","1",1
"2","#upgenes.ERS_0","GSK3A","0.969526466699084",1
"3","#upgenes.HTS_0","CSNK2A1","0.998917503282547",1
"4","#upgenes.HYP_0","HDAC1","0.999877889740917",1
"5","#upgenes.MTL_0","CDK5","0.99746215279628",1
"6","#upgenes.OXD_0","CAPN2, MYB, SRC","0.942267142136508",1
"7","#upgenes.DNA_0.25","","1",1
"8","#upgenes.ERS_0.25","GSK3A","0.958849996797243",1
"9","#upgenes.HTS_0.25","CSNK2A1","0.997456781637515",1
"10","#upgenes.HYP_0.25","HDAC1","0.999725287904215",1
"11","#upgenes.MTL_0.25","CDK5","0.996128350012014",1
"12","#upgenes.OXD_0.25","CAPN2, SRC","0.975192146969653",1
"13","#upgenes.DNA_0.45","","1",1
"14","#upgenes.ERS_0.45","GSK3A","0.910701633134036",1
"15","#upgenes.HTS_0.45","CSNK2A1","0.993225843359279",1
"16","#upgenes.HYP_0.45","","1",1
"17","#upgenes.MTL_0.45","CDK5","0.967737790397866",1
"18","#upgenes.OXD_0.45","CAPN2, SRC","0.948949809911714",1
"19","#upgenes.DNA_0.5","","1",1
"20","#upgenes.ERS_0.5","GSK3A","0.910701633134036",1
"21","#upgenes.HTS_0.5","CSNK2A1","0.993225843359279",1
"22","#upgenes.HYP_0.5","","1",1
"23","#upgenes.MTL_0.5","CDK5","0.967737790397866",1
"24","#upgenes.OXD_0.5","CAPN2, SRC","0.948949809911714",1
"25","#upgenes.DNA_0.65","","1",1
"26","#upgenes.ERS_0.65","GSK3A","0.868299742826292",1
"27","#upgenes.HTS_0.65","CSNK2A1","0.969526466699084",1
"28","#upgenes.HYP_0.65","","1",1
"29","#upgenes.MTL_0.65","CDK5","0.967737790397866",1
"30","#upgenes.OXD_0.65","CAPN2","0.944823826375502",1
"31","#upgenes.DNA_0.75","","1",1
"32","#upgenes.ERS_0.75","","1",1
"33","#upgenes.HTS_0.75","","1",1
"34","#upgenes.HYP_0.75","","1",1
"35","#upgenes.MTL_0.75","","1",1
"36","#upgenes.OXD_0.75","CAPN2","0.944823826375502",1
"37","#upgenes.DNA_0.85","","1",1
"38","#upgenes.ERS_0.85","","1",1
"39","#upgenes.HTS_0.85","","1",1
"40","#upgenes.HYP_0.85","","1",1
"41","#upgenes.MTL_0.85","","1",1
"42","#upgenes.OXD_0.85","","1",1
"43","#upgenes.DNA_0.95","","1",1
"44","#upgenes.ERS_0.95","","1",1
"45","#upgenes.HTS_0.95","","1",1
"46","#upgenes.HYP_0.95","","1",1
"47","#upgenes.MTL_0.95","","1",1
"48","#upgenes.OXD_0.95","","1",1
"49","#upgenes.DNA_1","","1",1
"50","#upgenes.ERS_1","","1",1
"51","#upgenes.HTS_1","","1",1
"52","#upgenes.HYP_1","","1",1
"53","#upgenes.MTL_1","","1",1
"54","#upgenes.OXD_1","","1",1
"55","#dngenes.DNA_0","","1",1
"56","#dngenes.ERS_0","GSK3A","0.969526466699084",1
"57","#dngenes.HTS_0","CSNK2A1","0.998917503282547",1
"58","#dngenes.HYP_0","HDAC1","0.999877889740917",1
"59","#dngenes.MTL_0","CDK5","0.99746215279628",1
"60","#dngenes.OXD_0","CAPN2, MYB, SRC","0.942267142136508",1
"61","#dngenes.DNA_0.25","","1",1
"62","#dngenes.ERS_0.25","GSK3A","0.837305779838912",1
"63","#dngenes.HTS_0.25","CSNK2A1","0.987084118608586",1
"64","#dngenes.HYP_0.25","HDAC1","0.992777638129664",1
"65","#dngenes.MTL_0.25","CDK5","0.992695367077513",1
"66","#dngenes.OXD_0.25","CAPN2, MYB, SRC","0.900486859797345",1
"67","#dngenes.DNA_0.45","","1",1
"68","#dngenes.ERS_0.45","","1",1
"69","#dngenes.HTS_0.45","","1",1
"70","#dngenes.HYP_0.45","HDAC1","0.942223711919714",1
"71","#dngenes.MTL_0.45","","1",1
