"","Gene set","Overlap","pValue","pAdj"
"1","#upgenes.DNA_0","GADD45A, CDK2, ARID3A","0.962305276497611",1
"2","#upgenes.ERS_0","","1",1
"3","#upgenes.HTS_0","CSNK2A1","0.984135487592112",1
"4","#upgenes.HYP_0","CDK1, CDKN1A, CDKN1B, HBP1, JUN, NFKB1, NR3C1, PPARA, RELA, TP53","0.0348404727230896",1
"5","#upgenes.MTL_0","CDK5","0.973385201722185",1
"6","#upgenes.OXD_0","SRC, RAF1, RHOA, ROCK2, SMAD3, FYN","0.153633889187895",1
"7","#upgenes.DNA_0.25","GADD45A, CDK2, ARID3A","0.951777930350535",1
"8","#upgenes.ERS_0.25","","1",1
"9","#upgenes.HTS_0.25","CSNK2A1","0.973361323292295",1
"10","#upgenes.HYP_0.25","CDK1, CDKN1A, CDKN1B, HBP1, JUN, NFKB1, NR3C1, PPARA, RELA, TP53","0.0198641749445028",1
"11","#upgenes.MTL_0.25","CDK5","0.96561222455622",1
"12","#upgenes.OXD_0.25","SRC, RAF1, RHOA, SMAD3, FYN","0.23449812984618",1
"13","#upgenes.DNA_0.45","GADD45A, CDK2, ARID3A","0.921777312645899",1
"14","#upgenes.ERS_0.45","","1",1
"15","#upgenes.HTS_0.45","CSNK2A1","0.951731364482117",1
"16","#upgenes.HYP_0.45","CDKN1A, CDKN1B, HBP1, JUN, NR3C1, RELA","0.248561690284399",1
"17","#upgenes.MTL_0.45","CDK5","0.875533305603276",1
"18","#upgenes.OXD_0.45","SRC, RHOA, SMAD3, FYN","0.307954453253932",1
"19","#upgenes.DNA_0.5","GADD45A, CDK2, ARID3A","0.921777312645899",1
"20","#upgenes.ERS_0.5","","1",1
"21","#upgenes.HTS_0.5","CSNK2A1","0.951731364482117",1
"22","#upgenes.HYP_0.5","CDKN1A, CDKN1B, HBP1, JUN, NR3C1, RELA","0.248561690284399",1
"23","#upgenes.MTL_0.5","CDK5","0.875533305603276",1
"24","#upgenes.OXD_0.5","SRC, RHOA, SMAD3, FYN","0.307954453253932",1
"25","#upgenes.DNA_0.65","GADD45A, CDK2, ARID3A","0.798234872052649",1
"26","#upgenes.ERS_0.65","","1",1
"27","#upgenes.HTS_0.65","CSNK2A1","0.879783782006409",1
"28","#upgenes.HYP_0.65","CDKN1A, CDKN1B, HBP1, JUN, NR3C1, RELA","0.151749768619253",1
"29","#upgenes.MTL_0.65","CDK5","0.875533305603276",1
"30","#upgenes.OXD_0.65","SMAD3, FYN","0.517678036919092",1
"31","#upgenes.DNA_0.75","GADD45A, CDK2, ARID3A","0.798234872052649",1
"32","#upgenes.ERS_0.75","","1",1
"33","#upgenes.HTS_0.75","","1",1
"34","#upgenes.HYP_0.75","CDKN1A, HBP1, JUN","0.434979845229854",1
"35","#upgenes.MTL_0.75","","1",1
"36","#upgenes.OXD_0.75","SMAD3, FYN","0.517678036919092",1
"37","#upgenes.DNA_0.85","","1",1
"38","#upgenes.ERS_0.85","","1",1
"39","#upgenes.HTS_0.85","","1",1
"40","#upgenes.HYP_0.85","CDKN1A, HBP1, JUN","0.166698454565304",1
"41","#upgenes.MTL_0.85","","1",1
"42","#upgenes.OXD_0.85","","1",1
"43","#upgenes.DNA_0.95","","1",1
"44","#upgenes.ERS_0.95","","1",1
"45","#upgenes.HTS_0.95","","1",1
"46","#upgenes.HYP_0.95","CDKN1A, HBP1, JUN","0.166698454565304",1
"47","#upgenes.MTL_0.95","","1",1
"48","#upgenes.OXD_0.95","","1",1
"49","#upgenes.DNA_1","","1",1
"50","#upgenes.ERS_1","","1",1
"51","#upgenes.HTS_1","","1",1
"52","#upgenes.HYP_1","CDKN1A, HBP1, JUN","0.166698454565304",1
"53","#upgenes.MTL_1","","1",1
"54","#upgenes.OXD_1","","1",1
"55","#dngenes.DNA_0","GADD45A, CDK2, ARID3A","0.962305276497611",1
"56","#dngenes.ERS_0","","1",1
"57","#dngenes.HTS_0","CSNK2A1","0.984135487592112",1
"58","#dngenes.HYP_0","CDK1, CDKN1A, CDKN1B, HBP1, JUN, NFKB1, NR3C1, PPARA, RELA, TP53","0.0348404727230896",1
"59","#dngenes.MTL_0","CDK5","0.973385201722185",1
"60","#dngenes.OXD_0","SRC, RAF1, RHOA, ROCK2, SMAD3, FYN","0.153633889187895",1
"61","#dngenes.DNA_0.25","GADD45A, CDK2, ARID3A","0.79652017450094",1
"62","#dngenes.ERS_0.25","","1",1
"63","#dngenes.HTS_0.25","CSNK2A1","0.92859262942347",1
"64","#dngenes.HYP_0.25","CDK1, CDKN1B, NFKB1, NR3C1, PPARA, RELA, TP53","0.0250571589703384",1
"65","#dngenes.MTL_0.25","CDK5","0.949456177774305",1
"66","#dngenes.OXD_0.25","SRC, RAF1, RHOA, ROCK2, SMAD3, FYN","0.0972632323486154",1
"67","#dngenes.DNA_0.45","","1",1
"68","#dngenes.ERS_0.45","","1",1
"69","#dngenes.HTS_0.45","","1",1
"70","#dngenes.HYP_0.45","CDK1, NFKB1, PPARA, TP53","0.0876685614273288",1
"71","#dngenes.MTL_0.45","","1",1
"72","#dngenes.OXD_0.45","SRC, RAF1, RHOA, ROCK2","0.129186990319654",1
"73","#dngenes.DNA_0.5","","1",1
"74","#dngenes.ERS_0.5","","1",1
"75","#dngenes.HTS_0.5","","1",1
"76","#dngenes.HYP_0.5","CDK1, NFKB1, PPARA, TP53","0.0876685614273288",1
"77","#dngenes.MTL_0.5","","1",1
"78","#dngenes.OXD_0.5","SRC, RAF1, RHOA, ROCK2","0.129186990319654",1
"79","#dngenes.DNA_0.65","","1",1
"80","#dngenes.ERS_0.65","","1",1
"81","#dngenes.HTS_0.65","","1",1
"82","#dngenes.HYP_0.65","CDK1, NFKB1, PPARA, TP53","0.020093439925151",1
"83","#dngenes.MTL_0.65","","1",1
"84","#dngenes.OXD_0.65","RAF1, ROCK2","0.208657409283412",1
"85","#dngenes.DNA_0.75","","1",1
"86","#dngenes.ERS_0.75","","1",1
"87","#dngenes.HTS_0.75","","1",1
"88","#dngenes.HYP_0.75","","1",1
"89","#dngenes.MTL_0.75","","1",1
"90","#dngenes.OXD_0.75","RAF1, ROCK2","0.208657409283412",1
"91","#dngenes.DNA_0.85","","1",1
"92","#dngenes.ERS_0.85","","1",1
"93","#dngenes.HTS_0.85","","1",1
"94","#dngenes.HYP_0.85","","1",1
"95","#dngenes.MTL_0.85","","1",1
"96","#dngenes.OXD_0.85","ROCK2","0.289116560241604",1
"97","#dngenes.DNA_0.95","","1",1
"98","#dngenes.ERS_0.95","","1",1
"99","#dngenes.HTS_0.95","","1",1
"100","#dngenes.HYP_0.95","","1",1
"101","#dngenes.MTL_0.95","","1",1
"102","#dngenes.OXD_0.95","ROCK2","0.289116560241604",1
"103","#dngenes.DNA_1","","1",1
"104","#dngenes.ERS_1","","1",1
"105","#dngenes.HTS_1","","1",1
"106","#dngenes.HYP_1","","1",1
"107","#dngenes.MTL_1","","1",1
"108","#dngenes.OXD_1","ROCK2","0.289116560241604",1
